smiles,mp
CC1=CC=CC(C)=C1NC(=O)C1=C(O)C=C(Cl)C(=C1)S(N)(=O)=O,256.0
CC1=CC=CC(NC2=CC=CC=C2C(O)=O)=C1C,231.0
CCOC(=O)C1(CCN(C)CC1)C1=CC=CC=C1,270.0
CN1CCCCC1C(=O)NC1=C(C)C=CC=C1C,150.0
CCOC1=CC=C(C=C1)C(=O)OCCN(CC)CC,173.0
COC(=O)NC1=NC2=C(N1)C=C(C=C2)C(=O)C1=CC=CC=C1,288.0
C\N=C1\CN(O)C(C2=CC=CC=C2)=C2C=C(Cl)C=CC2=N1,236.0
CC1(C)SC2C(NC(=O)C(N)C3=CC=CC=C3)C(=O)N2C1C(O)=O,208.0
CC1=C(N2C(SC1)C(NC(=O)C(N)C1=CCC=CC1)C2=O)C(O)=O,140.0
CN(C)CCCN1C2=CC=CC=C2SC2=CC=C(Cl)C=C12,203.0
CN1C2CC(CC1C1OC21)OC(=O)C(CO)C1=CC=CC=C1,59.0
CC12CCC3=C(C=CC4=CC(O)=CC=C34)C1CCC2=O,258.0
CCC(C(CC)C1=CC=C(O)C=C1)C1=CC=C(O)C=C1,187.0
OCC(O)COC(=O)C1=CC=CC=C1NC1=CC=NC2=C1C=CC(Cl)=C2,170.0
CC(=O)CCC1C(=O)N(N(C1=O)C1=CC=CC=C1)C1=CC=CC=C1,116.0
CN(C)CCCN1C2=CC=CC=C2CCC2=CC=CC=C12,175.0
CC12CCC3C(CCC4CC5SC5CC34C)C1CCC2O,127.0
CC12CCC3C(CCC4CC(O)CCC34C)C1CCC2=O,185.0
CC12CCC3C(CCC4CC(=O)CCC34C)C1CCC2O,181.0
CN1CCN(CCCN2C3=CC=CC=C3SC3=CC=C(Cl)C=C23)CC1,228.0
CCN(CC)CCOC(=O)C(C1=CC=CC=C1)C1=CC=CC=C1,114.0
CCC1C2CC3C4N(C)C5=CC=CC=C5C44CC(C2C4O)N3C1O,159.0
COC1=CC=C2N(C(=O)C=CC3=CC=CC=C3)C(C)=C(CC(O)=O)C2=C1,170.0
COC1=CC=C2C(OC(=O)C2=C1OC)C1N(C)CCC2=CC3=C(OCO3)C=C12,132.0
CC12CC(O)C3(F)C(CCC4=CC(=O)C=CC34C)C1CC(O)C2(O)C(=O)CO,269.0
CC12CCC3C(CCC4=CC(=O)CCC34C)C1CCC2(O)C#C,269.0
CC(=O)C1CCC2C3CC=C4CC(O)CCC4(C)C3CCC12C,193.0
COC1=CC=C2C(OC(=O)C2=C1OC)C1N(C)CCC2=CC3=C(OCO3)C(OC)=C12,176.0
CCC(=O)OC1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,120.0
COC1=CC2=C(C=C1OC)C13CCN4CC5=CCOC6CC(=O)N2C1C6C5CC34,178.0
CC(=O)OC1(CCC2C3C=C(Cl)C4=CC(=O)C=CC4(C)C3CCC12C)C(C)=O,168.0
CC(=O)C1(C)CCC2C3C=C(C)C4=CC(=O)CCC4(C)C3CCC12C,144.0
CC(CC1=CC=CC=C1)NCCC(C1=CC=CC=C1)C1=CC=CC=C1,38.0
CC1(C)OC2CC3C4CCC5=CC(=O)C=CC5(C)C4(F)C(O)CC3(C)C2(O1)C(=O)CO,293.0
CC(C)(C)CC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3C(O)CC12C,168.0
O[C@H]1CCN2C1=NC1=CC=CC=C1C2=O,210.0
CCCCNC(=O)NS(=O)(=O)C1=CC=CC=C1,131.0
CC(C)(C)C(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)C=CC4(C)C3C(O)CC12C,233.0
CC12CCC3C(CCC4=CC5=C(CC34C)C=NO5)C1CCC2(O)C#C,235.0
NC1=NC=NC2=C1C=CN2C1OC(CO)C(O)C1O,247.0
BrC1=CC=C2NC(=O)CN=C(C3=NC=CC=C3)C2=C1,238.0
NC1C2CN(CC12)C1=C(F)C=C2C(=O)C(=CN(C3=C(F)C=C(F)C=C3)C2=N1)C(O)=O,246.0
CC(C)NCC1CCC2=CC(CO)=C(C=C2N1)N(=O)=O,148.0
CC1=NN=C2CN=C(C3=C(Cl)C=CC=C3)C3=C(C=CC(Cl)=C3)N12,234.0
COC(=O)NC1=CC(OC(=O)NC2=CC(C)=CC=C2)=CC=C1,143.0
CC1=C2NC(=O)C3=CC=CN=C3N(C3CC3)C2=NC=C1,265.0
CC1CC2=CC=CC=C2N1NC(=O)C1=CC(=C(Cl)C=C1)S(N)(=O)=O,161.0
CC(C)N=C1C=C2N(C3=CC=C(Cl)C=C3)C3=CC=CC=C3N=C2C=C1NC1=CC=C(Cl)C=C1,211.0
O=C(CN1C=CN=C1N(=O)=O)NCC1=CC=CC=C1,189.0
CCC(=O)N(C1=CC=CC=C1)C1(COC)CCN(CCC2=CC=CS2)CC1,97.0
C1=CN(C=N1)C(C1=CC=CC=C1)C1=CC=C(C=C1)C1=CC=CC=C1,142.0
CC(=O)NCC1CN(C(=O)O1)C1=CC(F)=C(C=C1)N1CCOCC1,182.0
OC1=C2C=NNC2=NC=N1,350.0
[H]OC(=O)C(O\N=C(/C(=O)N([H])[C@]1([H])C(=O)N([C@@]1([H])C([H])([H])[H])S(=O)(=O)O[H])C1=C([H])SC(=N1)N([H])[H])(C([H])([H])[H])C([H])([H])[H],277.0
CN1C=NC2=C1C(=O)N(CCCCC(C)=O)C(=O)N2C,105.0
CC12CC(O)C3(F)C(CCC4=CC(=O)CCC34C)C1CCC2(O)C(=O)CO,261.0
CC1=C(CC(O)=O)C2=CC(F)=CC=C2C1=CC1=CC=C(C=C1)S(C)=O,184.0
CCC1(CC)C(=O)NCC(C)C1=O,76.0
CCCCC1C(=O)N(N(C1=O)C1=CC=C(O)C=C1)C1=CC=CC=C1,124.0
CCCCCC(O)C=CC1C(O)CC(=O)C1CC=CCCCC(O)=O,67.0
CN1CCC23C4OC5=C(OC(C)=O)C=CC(CC1C2C=CC4OC(C)=O)=C35,173.0
CN1C(CCl)NC2=CC(Cl)=C(C=C2S1(=O)=O)S(N)(=O)=O,225.0
COC(=O)C1=C(C)NC(C)=C(C1C1=CC=CC=C1N(=O)=O)C(=O)OC,173.0
COC1=C(OC)C(OC)=C2N=C(N=C(N)C2=C1)N1CCN(CC1)C(=O)OCC(C)(C)O,158.0
CSC1=CC=C2SC3=CC=CC=C3N(CCC3CCCCN3C)C2=C1,73.0
CN1C=NC(=C1SC1=NC=NC2=C1NC=N2)[N+]([O-])=O,244.0
CCN(CC)C(=O)CSC1=CC=C(Cl)N=N1,98.0
NC1=NC(=O)NC=C1F,296.0
NC1CONC1=O,156.0
CC1=C(C=CC=C1)N1C(C)=NC2=CC=CC=C2C1=O,120.0
CCCCNC(=O)OCC(C)(CCC)COC(N)=O,50.0
COC1=C(OCC(O)COC(N)=O)C=CC=C1,93.0
COC12C3NC3CN1C1=C(C2COC(N)=O)C(=O)C(N)=C(C)C1=O,360.0
NS(=O)(=O)C1=C(Cl)C=C2NC(NS(=O)(=O)C2=C1)C(Cl)Cl,270.0
OCC1CCC(O1)N1C=NC2=C(O)N=CN=C12,175.0
OC(=O)CC1=CC=CC=C1NC1=C(Cl)C=CC=C1Cl,157.0
OC(=O)CC1=CC=CC=C1OC1=C(Cl)C=C(Cl)C=C1,112.0
C[C@]12CCC(=O)C=C1CC[C@H]1[C@@H]3CC[C@H](C(=O)CO)[C@]3(C[C@H](O)[C@H]21)C=O,167.0
CCCCNC1=C(OC2=CC=CC=C2)C(=CC(=C1)C(O)=O)S(N)(=O)=O,231.0
CCC(C)C1(CC)C(=O)NC(=O)NC1=O,167.0
[O-][N+](=O)C1=CC2=C(NC(=O)CN=C2C2=CC=CC=C2Cl)C=C1,237.0
C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@]34C)[C@@H]1CC[C@@H]2C(=O)CO,181.0
CN(C(=O)COC1=NC2=CC=CC=C2S1)C1=CC=CC=C1,135.0
[H]C1=C([H])C2=C(O1)C(OC([H])([H])[H])=C1OC(=O)C([H])=C([H])C1=C2[H],148.0
[O-][N+](=O)C1=CC2=C(NC(=O)CN=C2C2=CC=CC=C2)C=C1,225.0
CC(=O)O[C@]1(CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@]12C)C#C,162.0
CC(=O)O[C@H]1CC[C@]2(C)[C@H]3CC[C@@]4(C)[C@@H](CCC4=O)[C@@H]3CC=C2C1,147.0
CCCOC1=CC2=C(C=C1)[C@@H]([C@H]([C@@H]2C1=C(OCC(O)=O)C=C(OC)C=C1)C(O)=O)C1=CC2=C(OCO2)C=C1,254.0
NC(N)=NS(=O)(=O)C1=CC=C(N)C=C1,192.0
CCC(C)C1(CC=C)C(=O)NC(=O)NC1=O,109.0
COC1=CC=C2[C@H]3CC4=C5C(O[C@@H]1[C@@]25CCN3C)=C(OC)C=C4,193.0
CCCC(C)C1(CC)C(=O)NC(=S)NC1=O,130.0
CCCC(CCC)C(O)=O,125.0
BrC1=C(OC2=CC=CC=C2)C=CC=C1,20.0
BrC1=CC(OC2=CC=CC=C2)=CC=C1,20.0
BrC1=CC=C(OC2=CC=CC=C2)C(Br)=C1,20.0
BrC1=CC=C(OC2=CC=CC=C2Br)C=C1,20.0
BrC1=CC=C(OC2=CC=CC=C2)C=C1Br,20.0
BrC1=CC=C(OC2=CC=CC(Br)=C2)C=C1,20.0
BrC1=CC=C(OC2=CC=CC=C2Br)C(Br)=C1,20.0
BrC1=CC(OC2=CC=C(Br)C=C2Br)=CC=C1,20.0
BrC1=CC=C(OC2=CC=C(Br)C=C2Br)C=C1,64.2
BrC1=CC(Br)=C(OC2=CC=CC=C2)C(Br)=C1,85.5
BrC1=CC=C(OC2=CC=CC=C2Br)C=C1Br,20.0
BrC1=CC(OC2=CC=C(Br)C(Br)=C2)=CC=C1,20.0
BrC1=CC=C(OC2=CC=C(Br)C(Br)=C2)C=C1,48.5
BrC1=CC(Br)=C(OC2=C(Br)C=C(Br)C=C2)C=C1,78.8
BrC1=CC=C(OC2=CC(Br)=CC=C2Br)C(Br)=C1,20.0
BrC1=CC=C(OC2=C(Br)C=CC=C2Br)C(Br)=C1,96.5
BrC1=CC=C(OC2=CC=C(Br)C(Br)=C2)C(Br)=C1,20.0
BrC1=CC=C(OC2=C(Br)C=CC=C2Br)C=C1Br,134.0
BrC1=CC=C(OC2=C(Br)C=C(Br)C=C2Br)C=C1,135.0
BrC1=CC=C(OC2=CC=C(Br)C(Br)=C2)C=C1Br,94.5
BrC1=CC(Br)=C(OC2=C(Br)C(Br)=C(Br)C=C2)C=C1,120.0
BrC1=CC(Br)=C(OC2=C(Br)C=C(Br)C=C2Br)C=C1,97.5
BrC1=C(Br)C(Br)=C(OC2=CC=CC=C2)C(Br)=C1Br,200.0
BrC1=CC(Br)=C(OC2=CC=C(Br)C(Br)=C2)C(Br)=C1,86.5
BrC1=CC=C(OC2=CC=C(Br)C(Br)=C2Br)C(Br)=C1Br,183.0
BrC1=CC(Br)=C(OC2=CC=C(Br)C(Br)=C2Br)C(Br)=C1,180.0
BrC1=CC(Br)=C(Br)C=C1OC1=CC(Br)=C(Br)C=C1Br,162.0
BrC1=CC(Br)=C(OC2=C(Br)C=C(Br)C(Br)=C2)C(Br)=C1,132.0
BrC1=CC=C(OC2=C(Br)C(Br)=C(Br)C(Br)=C2Br)C=C1,184.0
BrC1=CC=C(OC2=C(Br)C(Br)=C(Br)C(Br)=C2Br)C(Br)=C1,156.0
BrC1=CC(Br)=C(OC2=CC(Br)=C(Br)C=C2Br)C(Br)=C1Br,172.0
BrC1=CC=C(OC2=C(Br)C(Br)=C(Br)C(Br)=C2Br)C=C1Br,197.0
BrC1=CC(Br)=C(OC2=C(Br)C=C(Br)C(Br)=C2Br)C(Br)=C1Br,206.0
BrC1=CC(Br)=C(OC2=CC(Br)=C(Br)C=C2Br)C=C1,82.0
BrC1=CC=C(OC2=C(Br)C=CC=C2Br)C=C1,77.2
BrC1=CC=CC(Br)=C1OC1=CC=CC=C1,20.0
CC(C)(C)C(O)(CCC1=CC=C(Cl)C=C1)CN1C=NC=N1,105.0
OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,13.0
OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,34.5
OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,87.8
OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,113.0
OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,33.5
OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,10.0
OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,65.0
OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,130.0
OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,120.0
OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,99.1
CCN(CCO)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,57.5
OC(=O)\C=C(/F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,105.0
OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,46.2
OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,92.7
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C=O,71.0
OC(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,92.5
CC(C1CC1)C(O)(CN1C=NC=N1)C1=CC=C(Cl)C=C1,108.0
C[Si](CN1C=NC=N1)(C1=CC=C(F)C=C1)C1=CC=C(F)C=C1,54.0
CC(C)(C)C(O)C(CC1=CC=C(Cl)C=C1)N1C=NC=N1,166.0
CCCC1COC(CN2C=NC=N2)(O1)C1=CC=C(Cl)C=C1Cl,25.0
FC(F)(F)CCl,-106.0
FC(F)(Cl)C(Cl)(Cl)Cl,40.6
FC(F)(Cl)C(F)(Cl)Cl,-35.0
FC(F)(Cl)C(F)(F)Cl,-94.0
FC(F)(F)C(F)(F)Cl,-99.4
FC(F)(F)C(F)(F)C(F)(F)F,-148.0
OCC(F)(F)C(F)F,-15.0
FC(F)(F)C(=O)C(F)(F)Cl,-133.0
FC1(F)C(F)(F)C(F)(F)C1(F)F,-40.1
FC(F)=C(F)F,-142.0
FC(F)=C(F)C(F)(F)F,-156.0
FC(Br)C(F)(F)F,-80.0
FC(F)(Br)C(F)(F)Br,-110.0
FC(F)(F)C(Cl)Br,-118.0
FC(F)(F)C(Cl)=C(Cl)C(F)(F)F,-67.3
FC(F)(F)C(Cl)Cl,-107.0
FC1(F)C(F)(F)C(F)(F)C2(F)C(F)(C1(F)F)C(F)(F)C(F)(F)C1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C21F,-20.0
FC(F)(F)C1(F)C(F)(F)C(F)(F)C(F)(F)C2(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C12F,-70.0
FC1(F)C(F)(F)C(F)(F)C2(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C2(F)C1(F)F,-10.0
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,-100.0
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)N(C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,-50.0
FC(F)(F)COCC(F)(F)F,25.0
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,-78.0
OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(O)=O,134.0
FC1(F)C(Cl)=C(Cl)C(F)(F)C(F)(F)C1(F)F,-70.0
FC(F)(F)C(F)(F)C(F)(F)N(C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F,-52.0
FC(F)C(F)(F)Cl,-117.0
FC(F)(F)C(Cl)=O,146.0
FC(F)C(F)(F)F,-103.0
FC(F)(Br)C(F)(Cl)Br,50.0
FC(F)(F)C(Cl)(Cl)Cl,14.2
FC(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,-119.0
FC(F)(F)C(F)(Cl)C(F)(Cl)C(F)(F)F,-68.0
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,-128.0
FC(F)(N(=O)=O)C(F)(F)N(=O)=O,-41.5
COC(=O)C(F)(F)C(F)(F)C(F)(F)F,-86.0
FC(F)(F)C(F)(F)C1(F)OC(F)(F)C(F)(F)C1(F)F,-136.0
FC(F)CBr,-75.0
FC(F)C(F)F,-89.0
FC(F)(F)C(F)(F)N(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,-110.0
FC(=C(F)C(F)(F)F)C(F)(F)F,-129.0
FC(F)(F)C(Cl)(Cl)C(Cl)(Cl)C(F)(F)F,83.5
FC(F)(I)C(F)(F)C(F)(F)C(F)(F)I,-9.0
OC(=O)C(F)F,-1.0
CC(F)(F)CCl,-56.2
FC(F)(Cl)CBr,-76.0
FC(F)(F)CBr,-93.9
FC(F)(F)C(F)(F)C(Cl)Cl,-94.0
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)I,-68.0
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Br,25.0
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)I,66.0
CCOC(=O)C(F)(F)C(F)(F)F,75.5
FCC(F)F,-84.0
FC(F)(F)C(Cl)=C(Cl)Cl,115.0
FC(F)C(F)C(F)(F)F,-156.0
FC(F)(F)C(Cl)C(F)(F)F,-120.0
FC(F)(F)CCBr,25.0
FC(F)(F)CCCl,-106.0
FC(F)CC(F)(F)F,-102.0
FC(Cl)C(F)(F)C(F)(F)Cl,-97.0
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)I,-50.0
FC(F)(Cl)C(Cl)(Cl)C(F)(F)Cl,-42.9
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,-100.0
FC(F)C(F)(F)CBr,25.0
FC(F)C(F)(F)C(F)Cl,85.0
FC(F)(F)C#CC(F)(F)F,-117.0
FC1=C(F)C(F)(F)C1(F)F,-60.0
FC1(F)C(Cl)=C(Cl)C(F)(F)C1(F)F,-106.0
FC(F)(F)C(F)(F)C(F)(F)I,-95.0
FCC(F)(F)F,-101.0
OS(=O)(=O)C(F)(F)F,25.0
FC(F)(F)C(Cl)(Cl)C(F)(F)Cl,-4.3
FC(F)(Cl)CCl,-101.0
FC(F)=C(Cl)C(F)(F)F,-130.0
FC(Cl)C(F)(F)F,-199.0
CCNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,96.0
FC(F)(F)C(F)(F)C(Cl)(Cl)Cl,-80.0
FC(F)OC(Cl)C(F)(F)F,48.5
FCOC(C(F)(F)F)C(F)(F)F,25.0
OCCC1=CC=CC=C1,-27.0
[H]N([H])C1=NC([H])=NN1[H],159.0
ClC(Cl)=C(C1=CC=C(Cl)C=C1)C1=CC=C(Cl)C=C1,89.0
CC(=O)OC1CC2CCC1(C)C2(C)C,29.0
OC1=C(Br)C=C(C=C1Br)C1(OC(=O)C2=CC=CC=C12)C1=CC(Br)=C(O)C(Br)=C1,296.0
CC(C)C(=O)OC(C)(CCC=C(C)C)C=C,25.0
CC(C)=CCCC(C)(O)C=C,25.0
CC1CC=C(C)C(C=CC(C)=O)C1(C)C,25.0
CC(C)(C1=CC(Br)=C(O)C(Br)=C1)C1=CC(Br)=C(O)C(Br)=C1,181.0
CC(=O)C1=C(C)C(=C(C(=C1C)N(=O)=O)C(C)(C)C)N(=O)=O,136.0
CC1=C(C(=C(C(C)=C1N(=O)=O)N(=O)=O)C(C)(C)C)N(=O)=O,110.0
COC1=C(C(C)=C(C=C1C(C)(C)C)N(=O)=O)N(=O)=O,85.0
CCC1=C(Br)C(Br)=C(Br)C(Br)=C1Br,138.0
CN(C)CCC(C1=CC=C(Br)C=C1)C1=NC=CC=C1,25.0
OC1=C(C=C(Br)C=C1Br)C(=O)NC1=CC=C(Br)C=C1,227.0
BrC1=C(Br)C(Br)=C(Br)C(Br)=C1Br,326.0
CC1=C(Br)C(Br)=C(Br)C(Br)=C1Br,288.0
CCC1=C(C=C2C(=C1)C(C)(C)CCC2(C)C)C(C)=O,46.5
OC(=O)C1=C(O)C=CC(Br)=C1,170.0
OC1=C(Br)C=C(C=C1Br)N(=O)=O,145.0
CCCCCCC(C=O)=CC1=CC=CC=C1,39.2
COC(=O)C=CC1=CC=CC=C1,36.0
CCOC(=O)C=CC1=CC=CC=C1,7.0
O=COCC=CC1=CC=CC=C1,0.0
BrC1=CC(Br)=CC=C1,-7.0
OC1=C(Br)C=C(C=C1Br)C1(OS(=O)(=O)C2=CC=CC=C12)C1=CC(Br)=C(O)C(Br)=C1,279.0
CC(C)=CCCC(C)(OC(C)=O)C=C,25.0
CC1=C(C=C2C(=C1N(=O)=O)C(C)(C)CC2(C)C)N(=O)=O,132.0
OC1=C(Br)C=C(Br)C=C1Br,95.5
O=C(OCC=CC1=CC=CC=C1)C=CC1=CC=CC=C1,44.0
CC(=O)C=CC1C(C)=CCCC1(C)C,25.0
NC1=NC(=O)C2=C(N1)N=NN2,300.0
CC1=C(C)C(=C(C(=C1C)N(=O)=O)C(C)(C)C)N(=O)=O,136.0
NC(CC1=CC(Br)=C(O)C(Br)=C1)C(O)=O,245.0
CC(=O)OC1=C(C=CC(=C1)C(F)(F)F)C(O)=O,121.0
FC1=C(F)C(F)=C(Br)C(F)=C1F,-31.0
FC(F)(F)C1=NC(=NC(=N1)C(F)(F)F)C(F)(F)F,-24.8
FC(F)(F)C1=CC=CC(Br)=C1,1.0
OC1=C(C=C(Br)C=C1)C(=O)C(=O)C1=C(O)C=CC(Br)=C1,212.0
CC1=CC(Br)=C(N)C=C1,26.0
OC1=CC(Br)=C(O)C=C1,112.0
CC1=CC=C(Br)C(C)=C1,-17.0
CC1=C(N)C=CC(Br)=C1,59.5
CCOC1=CC=C(Br)C=C1,4.0
ClCC1=CC=C(Br)C=C1,50.0
NNC1=CC=C(Br)C=C1,108.0
OC(=O)C1=C(Br)C=CC=C1Br,150.0
COC1=C(Br)C=C(Br)C=C1Br,88.0
BrC1=CC=CC(Br)=C1Br,87.5
NC1=C(Br)C=CC=C1Br,87.5
BrC1=CC(Br)=C(Br)C(Br)=C1Br,160.0
CC1=C(O)C(Br)=CC(Br)=C1,58.0
OC(=O)C1=C(Br)C=C(Br)C=C1,174.0
OC1=CC(Br)=CC(Br)=C1,81.0
BrC1=CC(Br)=C(Br)C(Br)=C1,99.5
FC1=NC(F)=NC(F)=N1,-38.0
FC1=C(F)C(Br)=C(Br)C(F)=C1F,12.0
CN(C)P(=O)(N(C)C)N1N=C(N=C1N)C1=CC=CC=C1,168.0
BrC1=CC=C(C=O)C=C1,67.0
NC1=C2N=NNC2=NC=N1,300.0
CC1C(C)(C)C2=CC3=C(C=C2C1(C)C)C(C)COC3,-5.0
FC1=C(Br)C=C(Br)C=C1,69.0
